,log2FoldChange,padj
105376736,-0.1920822426968,0.524155707727555
2475,0.0307450472214066,0.970129749718537
100873935,-0.247118999006872,0.400640895005838
10218,-0.195266952581525,0.979118963042788
29914,0.262400730130084,0.200192733686658
105376737,-0.783355276775765,0.65297360791347
105376739,0.430130394970746,0.908158342038915
105376740,-0.91321308558675,0.535887349930079
57540,-0.152079082261394,0.97863559374197
112268221,-0.144713211510815,0.979223705151604
101929181,0.633980760488857,NA
26232,0.394259894439869,0.543234475703825
93611,-0.0359414160190026,0.970749385506948
26270,-0.387302900329999,0.423255760576791
10459,-0.474288650607241,0.526791993259277
374946,0.839760858595924,0.153919581838808
57085,-0.457566961804935,0.708202615702957
284498,-0.50624482960997,0.000782555173249386
4524,-0.357831730265334,0.00119126233065845
1185,0.594084769920047,0.189425934337098
100379251,0.669963775023152,0.119652531183833
4878,-0.00888662029739734,0.996180417421051
4879,0.813365307500264,0.683953326905952
26829,-0.587942117310012,0.638778573360184
90231,-0.0525056277171201,0.955991235738713
5351,0.0839279166682172,0.955991235738713
9927,0.228584272040227,0.350847700355866
60672,-0.673855836688857,1.94809302497454E-07
102466982,-0.916685668113225,0.273560086955422
943,-0.0292613951146527,0.994289968227596
102465836,0.794021108784372,0.674917063070263
7133,-0.582030592221295,0.803811268064156
100616438,-1.7722907307004,0.162056040608787
107984917,-0.273201708062665,0.953649088668638
55187,0.198143666691204,0.479506916683002
677885,0.192366866748893,0.710399469889201
105376744,-0.0455264510471139,0.97639219897801
9249,-0.429504539022935,0.848290724570507
102466722,-1.02989659040737,0.360891541880569
343066,0.229810196462379,0.970749385506948
93190,0.96361719435769,0.713407245799359
440560,-0.0528283796164276,NA
343069,0.150234705608104,0.963242069871492
400735,-1.00323119174271,NA
441871,-1.54819202070184,NA
649330,-0.0543557854052305,NA
649324,-0.330453066098889,NA
440563,0.427034277165697,0.816973756035397
645354,-0.276892275959962,NA
101060301,0.952356555575772,NA
645414,1.93710662523536,0.316875422972243
126755,0.463804738816437,0.880209494877124
102724856,1.01652633522949,0.60007009024898
107984918,0.298127787308527,0.933770886836929
10630,-0.0924905884711345,0.971735859961654
107984919,-0.643349299141652,0.563293007345216
105378612,-1.82471495004079,0.0661019771552041
105376756,0.57449899500365,NA
7799,0.592330620639641,0.116847221127119
23254,-0.000912883169600263,0.999343674034035
107985467,-0.71720604791568,0.758443793116629
107985468,-0.482851535137401,0.885834560965
105376762,-0.828908376680878,0.727270132210158
105376759,-0.215873112111974,0.895382813173549
107985469,-0.0698427781829227,0.970749385506948
200197,-0.0555746241052439,0.964218918454088
55092,-0.170331648901764,0.969368772688829
727684,-1.054987513002,0.52226760605335
114827,-0.37440246341696,0.829630279192674
101927417,-0.226157807033029,0.953701772278946
101927441,-0.428460131733621,0.613789766877834
79180,-0.453192587606264,0.681264312596878
11330,-1.58065126771425,0.0465010248083669
63036,-0.540281833819884,0.682948772045425
105376767,-0.291465084381616,0.866050884398749
51032,-0.261192731123596,0.765073397588451
842,-0.279601475857075,0.353875579996206
23341,0.442050130288286,0.128096098128627
107397391,0.167429221080864,0.959640048370993
79814,0.201640342600676,0.72709686127648
84301,0.137569872865984,0.704768013950499
6248,0.0949846770899499,0.839645932068984
23207,-0.326468919886267,0.447003493222713
284723,-0.180790117939851,0.929563974205175
110806303,0.195126743395818,0.931930953302086
388595,0.133381267102247,NA
54751,-0.137103683295891,0.97639219897801
440567,-0.00131743038526987,0.999417057481378
729614,-0.284399680404255,0.710399469889201
23013,0.388922409333701,0.291021847097366
7709,-0.321648233650654,0.00113767334227813
149563,0.196545558411226,0.955991235738713
27129,0.0340655400423897,0.990242503202895
1187,-0.234368822581217,0.950995392415113
1188,-0.172033583757499,0.879727968620369
348487,0.0866309151162986,0.985088174954497
1969,-0.363124875897226,0.524155707727555
101927479,-0.764615641640786,0.00677545329260497
128272,-0.831537066085559,0.282097396108543
101927546,-0.390028619701668,0.11936919775369
79363,0.133901552236702,0.647307113155346
54455,0.0106172469975414,0.985836652159784
26099,0.540308078786892,0.028224819040888
374955,0.457674300915526,0.100527230990241
55707,-0.154756077985297,0.924312325466944
107984921,0.0363383283883856,0.984891231827096
114819,-0.482622485039051,0.52565374787181
26871,0.268031661890116,0.882525676008503
100132147,-0.0551965803877656,0.987795141874343
107985758,-0.519509408110884,0.702828618674003
55672,0.204135964092372,0.699594776563476
105376794,-0.774738484541643,0.00289109717204478
84809,-0.70591138771628,0.00426070391559606
11209,-2.21457309101572,1.28842970632105E-13
107985736,0.948625828404894,0.161118289096217
26869,0.267522645483415,0.883080859522891
284729,-1.35282441821038,0.345973858349493
6060,0.431793785632384,0.665838255090031
11223,-1.10204971659643,0.00145363334331723
112267871,0.0260691667339624,0.994843562238479
7193,-0.608535620234609,0.701770395779887
105376805,-0.135258111497693,0.91742113266823
791226,-0.952577606936507,NA
26870,0.465300597066851,0.616887084619976
9696,-0.768748303481555,0.386813764771654
4237,0.0994429635111291,0.95028148415755
105376806,-0.081263613047602,0.957683636604748
23400,0.769470074631938,0.341850402637743
6390,-0.0312852919934567,0.964931179663987
11240,0.00657199289191941,0.997579139824498
105376808,-0.52804309443243,0.883030971540074
400743,-1.20619579254517,NA
